DNS Tested,Target Website,Query Times (ms),Date Tested,Frequency Tested,Avg Query Time
Cloudflare Primary DNS,www.facebook.com,"41.65, 40.27, 39.88, 46.01, 40.63, 43.18, 41.58, 39.75, 40.41, 41.22",2026-09-07,10,41.46
Cloudflare Primary DNS,www.google.com,"40.2, 42.55, 40.23, 44.72, 41.43, 42.18, 39.99, 40.96, 43.14, 42.34",2026-09-07,10,41.77
Cloudflare Primary DNS,www.amazon.com,"43.73, 41.56, 39.73, 53.25, 40.6, 40.15, 39.25, 41.58, 44.36, 42.36",2026-09-07,10,42.66
Cloudflare Primary DNS,www.nos.nl,"55.62, 52.88, 40.58, 53.08, 43.05, 41.43, 52.47, 47.43, 52.45, 86.7",2026-09-07,10,52.57
Cloudflare Primary DNS,www.bbc.co.uk,"43.48, 47.29, 45.15, 48.68, 42.15, 43.89, 41.59, 42.96, 48.42, 41.79",2026-09-07,10,44.54
Cloudflare Primary DNS,www.github.com,"48.61, 44.94, 40.71, 44.86, 41.45, 42.04, 41.19, 42.23, 45.06, 41.22",2026-09-07,10,43.23
Cloudflare Primary DNS,www.netflix.com,"44.5, 43.93, 41.34, 42.08, 39.26, 45.87, 40.0, 39.81, 43.9, 41.58",2026-09-07,10,42.23
Cloudflare Primary DNS,www.hbomax.com,"43.24, 45.88, 45.88, 46.16, 41.05, 42.35, 73.75, 79.5, 44.74, 40.61",2026-09-07,10,50.32
Cloudflare Primary DNS,protonvpn.com,"42.37, 41.93, 43.68, 43.74, 39.66, 39.77, 41.07, 45.0, 43.19, 42.86",2026-09-07,10,42.33
Cloudflare Primary DNS,www.ajax.nl,"53.82, 45.81, 56.03, 51.36, 52.24, 58.48, 54.75, 51.81, 41.92, 43.5",2026-09-07,10,50.97
Cloudflare Secondary DNS,www.facebook.com,"41.09, 41.48, 40.79, 40.86, 40.39, 39.57, 41.68, 40.8, 41.24, 41.82",2026-09-07,10,40.97
Cloudflare Secondary DNS,www.google.com,"42.98, 39.62, 43.12, 43.44, 39.64, 40.92, 39.62, 40.86, 39.85, 40.15",2026-09-07,10,41.02
Cloudflare Secondary DNS,www.amazon.com,"41.86, 46.0, 45.5, 40.7, 41.91, 41.23, 42.57, 40.69, 40.59, 40.44",2026-09-07,10,42.15
Cloudflare Secondary DNS,www.nos.nl,"116.03, 57.5, 50.37, 46.34, 52.99, 48.96, 41.13, 53.03, 43.64, 52.19",2026-09-07,10,56.22
