"DNS Tested","Target Website","Query Times (ms)","Date Tested","Frequency Tested","Avg Query Time"
"Cloudflare Primary DNS","www.facebook.com","62.64, 47.05, 47.5, 46.66, 46.63, 49.33, 46.21, 45.72, 48.58, 48.27","2026-06-26","10","48.86"
"Cloudflare Primary DNS","www.google.com","45.15, 47.45, 47.55, 42.32, 46.2, 47.64, 47.57, 47.72, 48.05, 47.17","2026-06-26","10","46.68"
"Cloudflare Primary DNS","www.amazon.com","49.55, 50.63, 45.4, 47.94, 46.56, 47.82, 44.6, 47.24, 45.9, 42.77","2026-06-26","10","46.84"
"Cloudflare Primary DNS","www.nos.nl","115.4, 55.57, 122.37, 62.99, 59.68, 52.87, 55.78, 46.44, 57.01, 57.52","2026-06-26","10","68.56"
"Cloudflare Primary DNS","www.bbc.co.uk","50.83, 52.39, 49.08, 51.06, 49.07, 48.6, 47.68, 45.92, 46.8, 49.63","2026-06-26","10","49.11"
"Cloudflare Primary DNS","www.github.com","46.08, 47.6, 47.95, 45.59, 48.27, 48.69, 50.35, 46.86, 46.7, 49.18","2026-06-26","10","47.73"
"Cloudflare Primary DNS","www.netflix.com","46.44, 46.65, 46.69, 44.77, 47.08, 47.27, 47.06, 46.85, 46.79, 46.18","2026-06-26","10","46.58"
"Cloudflare Primary DNS","www.hbomax.com","42.69, 49.21, 46.77, 48.28, 48.15, 46.72, 45.6, 47.48, 47.73, 44.06","2026-06-26","10","46.67"
"Cloudflare Secondary DNS","www.facebook.com","48.78, 47.21, 47.42, 45.03, 50.55, 50.4, 44.72, 46.85, 45.24, 49.56","2026-06-26","10","47.58"
"Cloudflare Secondary DNS","www.google.com","47.53, 46.22, 45.87, 47.61, 47.23, 48.03, 47.05, 45.31, 45.77, 46.28","2026-06-26","10","46.69"
"Cloudflare Secondary DNS","www.amazon.com","46, 47.84, 48.27, 46.48, 48.61, 47.04, 43.73, 47.65, 47.27, 48.08","2026-06-26","10","47.1"
"Cloudflare Secondary DNS","www.nos.nl","58.14, 50.71, 50.53, 105.13, 64.63, 53.01, 46.94, 47.59, 47.42, 55.38","2026-06-26","10","57.95"
"Cloudflare Secondary DNS","www.bbc.co.uk","58.24, 49.15, 47.69, 50.32, 48.11, 47.23, 49.66, 45.2, 48.29, 45.44","2026-06-26","10","48.93"
"Cloudflare Secondary DNS","www.github.com","48.32, 47.17, 48.66, 46.1, 46.61, 44.57, 48.18, 46.96, 46.48, 46.89","2026-06-26","10","46.99"
"Cloudflare Secondary DNS","www.netflix.com","46.56, 43.55, 49.03, 46.33, 46.58, 47.1, 47.54, 47.42, 47.04, 45.86","2026-06-26","10","46.7"
"Cloudflare Secondary DNS","www.hbomax.com","47.55, 47.61, 46.92, 48.75, 49.66, 46.64, 46.26, 54.47, 48.39, 46.79","2026-06-26","10","48.3"
"Google Primary DNS","www.facebook.com","182.84, 156.84, 191.78, 188.74, 137.48, 137.25, 137.53, 137.81, 137.6, 135.56","2026-06-26","10","154.34"
"Google Primary DNS","www.google.com","137.17, 140.09, 143.1, 138.56, 137.61, 138.67, 142.37, 137.2, 140.38, 138.83","2026-06-26","10","139.4"
"Google Primary DNS","www.amazon.com","140.7, 140.84, 145.26, 137.88, 144.45, 141.22, 139.56, 138.69, 139.58, 142.48","2026-06-26","10","141.07"
"Google Primary DNS","www.nos.nl","145.58, 208.38, 144.65, 249.93, 138.19, 187.37, 143.18, 251.27, 137, 137.69","2026-06-26","10","174.32"
"Google Primary DNS","www.bbc.co.uk","142.03, 142.95, 142.44, 138.72, 137.37, 139.59, 137.34, 142.95, 139.08, 136.8","2026-06-26","10","139.93"
"Google Primary DNS","www.github.com","138.9, 138.01, 141.48, 139.84, 135.74, 138.4, 137.36, 137.69, 138.15, 142.92","2026-06-26","10","138.85"
"Google Primary DNS","www.netflix.com","134.17, 136.83, 137.19, 137.9, 138.57, 137.39, 136.52, 136.94, 137.02, 137.07","2026-06-26","10","136.96"
"Google Primary DNS","www.hbomax.com","141.1, 148.78, 142.38, 137.93, 140.06, 140.12, 143.01, 137.97, 140.71, 140.78","2026-06-26","10","141.28"
"Google Secondary DNS","www.facebook.com","144.63, 138.36, 140.97, 136.51, 139.05, 138.88, 141.8, 137.26, 136.45, 138.39","2026-06-26","10","139.23"
"Google Secondary DNS","www.google.com","141.03, 137.88, 133.86, 138.1, 137.65, 138.08, 136.12, 137.72, 137.06, 138.33","2026-06-26","10","137.58"
"Google Secondary DNS","www.amazon.com","185.65, 138.47, 143.43, 187.69, 139.55, 138.51, 138.32, 140.55, 136.93, 145.56","2026-06-26","10","149.47"
"Google Secondary DNS","www.nos.nl","136.93, 133.39, 138.82, 137.16, 148.49, 136.52, 135.94, 136.8, 137.12, 137.97","2026-06-26","10","137.91"
"Google Secondary DNS","www.bbc.co.uk","138.81, 142.72, 137.03, 137.92, 140.99, 137.07, 138.42, 137.35, 138, 137.86","2026-06-26","10","138.62"
"Google Secondary DNS","www.github.com","136.96, 139.57, 138.61, 137.51, 136.96, 137.46, 138.05, 136.21, 137.16, 138.25","2026-06-26","10","137.67"
"Google Secondary DNS","www.netflix.com","136.17, 137.67, 135.94, 139.69, 137.88, 135.86, 136.2, 137.73, 136.96, 137.35","2026-06-26","10","137.15"
"Google Secondary DNS","www.hbomax.com","137.17, 145.12, 136.76, 135.87, 137.53, 138.48, 138.02, 137.55, 134.63, 137.1","2026-06-26","10","137.82"
"Quad9 Primary DNS","www.facebook.com","124.68, 125.9, 125.63, 125.66, 126.13, 125.54, 125.7, 126.48, 123.26, 125.13","2026-06-26","10","125.41"
"Quad9 Primary DNS","www.google.com","122.35, 125.51, 126.97, 126.52, 123.55, 126.61, 125.35, 125.56, 125.32, 125.33","2026-06-26","10","125.31"
"Quad9 Primary DNS","www.amazon.com","126.14, 127.07, 126.5, 124.3, 126.6, 129.5, 124.2, 158.43, 128.18, 125.86","2026-06-26","10","129.68"
"Quad9 Primary DNS","www.nos.nl","458.95, 457.23, 126.52, 125.65, 126.04, 126.06, 123.54, 127.78, 126.29, 126.14","2026-06-26","10","192.42"
"Quad9 Primary DNS","www.bbc.co.uk","318.21, 135.79, 125.17, 125.8, 127.95, 126.64, 129.5, 127.41, 126.81, 125.01","2026-06-26","10","146.83"
"Quad9 Primary DNS","www.github.com","125.79, 127.17, 128.35, 127.23, 127.47, 127.22, 126.44, 127.47, 127.37, 127.06","2026-06-26","10","127.16"
"Quad9 Primary DNS","www.netflix.com","128.39, 128.65, 124.48, 127.42, 125.85, 132.22, 125.49, 126.45, 126.71, 126.51","2026-06-26","10","127.22"
"Quad9 Primary DNS","www.hbomax.com","130.61, 128.79, 124.26, 126.68, 123.59, 191.21, 124.09, 124.87, 125.68, 125.59","2026-06-26","10","132.54"
"Quad9 Secondary DNS","www.facebook.com","124.18, 126.15, 125.94, 127.18, 129.12, 126.23, 125.98, 127.07, 126.9, 125.12","2026-06-26","10","126.39"
"Quad9 Secondary DNS","www.google.com","127.37, 127.96, 127.73, 125.92, 126.51, 128.39, 126.55, 123.15, 126.59, 127.7","2026-06-26","10","126.79"
"Quad9 Secondary DNS","www.amazon.com","127.07, 128.05, 125.13, 126.77, 125.29, 126.61, 127.08, 128.34, 126.45, 122.34","2026-06-26","10","126.31"
"Quad9 Secondary DNS","www.nos.nl","124.19, 128.55, 127.54, 127.31, 126.32, 123.54, 127.99, 126.58, 126.86, 123.31","2026-06-26","10","126.22"
"Quad9 Secondary DNS","www.bbc.co.uk","124.8, 131.43, 125.77, 125.65, 125.97, 126.63, 126.39, 125.39, 129.44, 126.56","2026-06-26","10","126.8"
"Quad9 Secondary DNS","www.github.com","126.45, 121.58, 134.01, 126.78, 233.68, 124.25, 125.54, 131.46, 127.34, 130.83","2026-06-26","10","138.19"
