DNS Tested,Target Website,Query Times (ms),Date Tested,Frequency Tested,Avg Query Time
Cloudflare Primary DNS,www.facebook.com,"61.63, 45.91, 47.02, 47.05, 45.43",6/23/2026,5,49.41
Cloudflare Primary DNS,www.google.com,"46.81, 46.17, 46.6, 47.45, 47.93",6/23/2026,5,46.99
Cloudflare Primary DNS,www.amazon.com,"45.85, 47.57, 47.66, 46.76, 46.37",6/23/2026,5,46.84
Cloudflare Primary DNS,www.nos.nl,"53.33, 53.05, 52.68, 54.72, 49.68",6/23/2026,5,52.69
Cloudflare Primary DNS,www.bbc.co.uk,"47.72, 47.15, 47.94, 48.11, 48.58",6/23/2026,5,47.9
Cloudflare Primary DNS,www.github.com,"46.43, 46.58, 46.98, 47.12, 47.74",6/23/2026,5,46.97
Cloudflare Primary DNS,www.netflix.com,"47.42, 47.4, 49.78, 46.49, 49.03",6/23/2026,5,48.02
Cloudflare Primary DNS,www.hbomax.com,"44.86, 48.43, 47.1, 48.71, 46.48",6/23/2026,5,47.12
Cloudflare Secondary DNS,www.facebook.com,"46.55, 47.07, 46.35, 46.83, 49.22",6/23/2026,5,47.2
Cloudflare Secondary DNS,www.google.com,"46.78, 47.39, 46.32, 46.67, 49.04",6/23/2026,5,47.24
Cloudflare Secondary DNS,www.amazon.com,"45.25, 47.62, 55.31, 45.84, 47.67",6/23/2026,5,48.34
Cloudflare Secondary DNS,www.nos.nl,"48.16, 46.88, 62.41, 54.98, 56.03",6/23/2026,5,53.69
Cloudflare Secondary DNS,www.bbc.co.uk,"47.81, 46.08, 48.93, 46.02, 48.3",6/23/2026,5,47.43
Cloudflare Secondary DNS,www.github.com,"47.81, 46.14, 47.68, 47.27, 46.14",6/23/2026,5,47.01
Cloudflare Secondary DNS,www.netflix.com,"48.21, 46.54, 46.73, 45.63, 45.64",6/23/2026,5,46.55
Cloudflare Secondary DNS,www.hbomax.com,"46.92, 49.32, 46.56, 47.28, 48.56",6/23/2026,5,47.73
Google Primary DNS,www.facebook.com,"143.16, 245.37, 138.56, 137.62, 136.99",6/23/2026,5,160.34
Google Primary DNS,www.google.com,"137.77, 137.39, 137.24, 137.68, 135.7",6/23/2026,5,137.15
Google Primary DNS,www.amazon.com,"141.8, 144.03, 146.14, 147.5, 146.25",6/23/2026,5,145.14
Google Primary DNS,www.nos.nl,"151.56, 184.61, 155.16, 137.67, 141.41",6/23/2026,5,154.08
Google Primary DNS,www.bbc.co.uk,"142.49, 141.35, 136.17, 140.57, 138.13",6/23/2026,5,139.74
Google Primary DNS,www.github.com,"137.34, 142.38, 137.35, 138.15, 136.75",6/23/2026,5,138.39
Google Primary DNS,www.netflix.com,"136.04, 136.31, 136.5, 137.21, 136.95",6/23/2026,5,136.6
Google Primary DNS,www.hbomax.com,"142.1, 140.14, 136.51, 141.05, 141.87",6/23/2026,5,140.34
Google Secondary DNS,www.facebook.com,"136.75, 136.76, 137.49, 138.07, 138.82",6/23/2026,5,137.58
Google Secondary DNS,www.google.com,"136.08, 138.25, 137.27, 137.33, 138.27",6/23/2026,5,137.44
Google Secondary DNS,www.amazon.com,"138.06, 136.85, 136.49, 140.79, 138.68",6/23/2026,5,138.17
Google Secondary DNS,www.nos.nl,"186.61, 138.83, 140.19, 138.26, 138.01",6/23/2026,5,148.38
Google Secondary DNS,www.bbc.co.uk,"139.28, 139.27, 136.25, 138.76, 139.19",6/23/2026,5,138.55
Google Secondary DNS,www.github.com,"144.72, 143.37, 135.02, 137.52, 138.65",6/23/2026,5,139.85
Google Secondary DNS,www.netflix.com,"136.16, 134.98, 138.02, 136.6, 136.65",6/23/2026,5,136.48
Google Secondary DNS,www.hbomax.com,"140.57, 143.11, 139.13, 138.35, 136.04",6/23/2026,5,139.44
Quad9 Primary DNS,www.facebook.com,"129.42, 127.31, 125.89, 128.51, 128.5",6/23/2026,5,127.92
Quad9 Primary DNS,www.google.com,"130.87, 128.32, 125.25, 130, 127.56",6/23/2026,5,128.4
Quad9 Primary DNS,www.amazon.com,"127.22, 126.91, 126.81, 126.42, 127.57",6/23/2026,5,126.99
Quad9 Primary DNS,www.nos.nl,"272.27, 130.49, 126.47, 133.84, 132.25",6/23/2026,5,159.07
Quad9 Primary DNS,www.bbc.co.uk,"222.91, 332.22, 126.65, 123.94, 125.58",6/23/2026,5,186.26
Quad9 Primary DNS,www.github.com,"130.14, 127.52, 124.92, 125.47, 128.68",6/23/2026,5,127.35
Quad9 Primary DNS,www.netflix.com,"128.47, 126.75, 124.74, 127.36, 121.46",6/23/2026,5,125.75
Quad9 Primary DNS,www.hbomax.com,"129.32, 126.93, 126.79, 125.82, 127.24",6/23/2026,5,127.22
Quad9 Secondary DNS,www.facebook.com,"126.93, 127.3, 126.74, 127.16, 125.36",6/23/2026,5,126.7
Quad9 Secondary DNS,www.google.com,"126.83, 126.95, 125.41, 127.34, 127.13",6/23/2026,5,126.73
Quad9 Secondary DNS,www.amazon.com,"127.14, 127.34, 126.54, 126.81, 125.73",6/23/2026,5,126.71
Quad9 Secondary DNS,www.nos.nl,"125.36, 128.19, 127.4, 127.64, 127.05",6/23/2026,5,127.13
Quad9 Secondary DNS,www.bbc.co.uk,"127.12, 128.56, 124.98, 126.19, 125.49",6/23/2026,5,126.47
Quad9 Secondary DNS,www.github.com,"130.95, 125.79, 126.7, 125.16, 125.95",6/23/2026,5,126.91
Quad9 Secondary DNS,www.netflix.com,"125.68, 126.18, 127.35, 125.45, 125.35",6/23/2026,5,126
Quad9 Secondary DNS,www.hbomax.com,"129.17, 127.56, 127.95, 125.28, 125.57",6/23/2026,5,127.11
NextDNS Primary DNS,www.facebook.com,"92.66, 91.9, 90.24, 49.14, 48.42",6/23/2026,5,74.47
NextDNS Primary DNS,www.google.com,"47.26, 47.36, 47.67, 46.75, 46.36",6/23/2026,5,47.08
NextDNS Primary DNS,www.amazon.com,"44.65, 47.87, 47.21, 47.4, 46.83",6/23/2026,5,46.79
NextDNS Primary DNS,www.nos.nl,"146.37, 46.2, 47.17, 48.52, 48.21",6/23/2026,5,67.3
NextDNS Primary DNS,www.bbc.co.uk,"180.26, 46.4, 47.29, 46.58, 45.1",6/23/2026,5,73.13
NextDNS Primary DNS,www.github.com,"46.07, 57.26, 47.71, 46.16, 47.48",6/23/2026,5,48.94
NextDNS Primary DNS,www.netflix.com,"47.11, 47.85, 46.83, 46.7, 46.34",6/23/2026,5,46.97
NextDNS Primary DNS,www.hbomax.com,"148.72, 45.71, 48.16, 47.48, 47.63",6/23/2026,5,67.54
NextDNS Secondary DNS,www.facebook.com,"91.66, 92.39, 94.28, 43.84, 44.82",6/23/2026,5,73.4
NextDNS Secondary DNS,www.google.com,"44.25, 44.17, 44.93, 44.33, 50.8",6/23/2026,5,45.7
NextDNS Secondary DNS,www.amazon.com,"100.73, 44.01, 45.19, 45.92, 42.61",6/23/2026,5,55.69
NextDNS Secondary DNS,www.nos.nl,"154.74, 46.64, 50.09, 46.34, 47.66",6/23/2026,5,69.09
NextDNS Secondary DNS,www.bbc.co.uk,"58.97, 48.57, 50.7, 47.22, 46.93",6/23/2026,5,50.48
NextDNS Secondary DNS,www.github.com,"46.67, 45.77, 46.57, 45.78, 47.31",6/23/2026,5,46.42
NextDNS Secondary DNS,www.netflix.com,"46.27, 46.63, 46.91, 45.87, 46.43",6/23/2026,5,46.42
NextDNS Secondary DNS,www.hbomax.com,"96.49, 45.13, 46.36, 46.38, 45.77",6/23/2026,5,56.02
OpenDNS Primary DNS,www.facebook.com,"100.89, 127.15, 47.2, 49.04, 52.01",6/23/2026,5,75.26
OpenDNS Primary DNS,www.google.com,"73.27, 79.67, 80.29, 46.73, 43.4",6/23/2026,5,64.67
OpenDNS Primary DNS,www.amazon.com,"53.05, 50.08, 195.57, 203.98, 96.43",6/23/2026,5,119.82
OpenDNS Primary DNS,www.nos.nl,"125.05, 216.8, 207.38, 318, 219.05",6/23/2026,5,217.25
OpenDNS Primary DNS,www.bbc.co.uk,"53.02, 359.61, 46.62, 46.9, 44.32",6/23/2026,5,110.09
OpenDNS Primary DNS,www.github.com,"48.73, 49.96, 46.84, 89.57, 52.6",6/23/2026,5,57.54
OpenDNS Primary DNS,www.netflix.com,"46.23, 45.25, 46.49, 46.96, 45.08",6/23/2026,5,46
OpenDNS Primary DNS,www.hbomax.com,"49.62, 126.39, 47.37, 49.28, 49.74",6/23/2026,5,64.48
OpenDNS Secondary DNS,www.facebook.com,"128.1, 119.29, 47.54, 122.3, 45.7",6/23/2026,5,92.59
OpenDNS Secondary DNS,www.google.com,"76.18, 82.24, 50.88, 80.74, 75.75",6/23/2026,5,73.16
OpenDNS Secondary DNS,www.amazon.com,"149.35, 62.2, 47.87, 51.54, 47.68",6/23/2026,5,71.73
OpenDNS Secondary DNS,www.nos.nl,"46.01, 218.99, 120.73, 46.56, 179.73",6/23/2026,5,122.4
OpenDNS Secondary DNS,www.bbc.co.uk,"153.77, 252.37, 59.23, 360.39, 53.68",6/23/2026,5,175.89
OpenDNS Secondary DNS,www.github.com,"51.14, 50.17, 47.07, 45.23, 55.8",6/23/2026,5,49.88
OpenDNS Secondary DNS,www.netflix.com,"48.18, 144.55, 45.69, 47.82, 44.19",6/23/2026,5,66.09
OpenDNS Secondary DNS,www.hbomax.com,"45.91, 48.3, 46.64, 57.31, 46.48",6/23/2026,5,48.93
AdGuard DNS Primary DNS,www.facebook.com,"284.42, 51.99, 45.72, 45.53, 43.81",6/23/2026,5,94.29
AdGuard DNS Primary DNS,www.google.com,"45.7, 46, 45.43, 46.05, 44.79",6/23/2026,5,45.59
AdGuard DNS Primary DNS,www.amazon.com,"323.4, 45.22, 46.2, 46.91, 46.54",6/23/2026,5,101.65
AdGuard DNS Primary DNS,www.nos.nl,"155, 47.56, 47.11, 48.07, 45.1",6/23/2026,5,68.57
AdGuard DNS Primary DNS,www.bbc.co.uk,"833.16, 45.48, 46.49, 45.55, 45.8",6/23/2026,5,203.3
AdGuard DNS Primary DNS,www.github.com,"253.66, 45.69, 45.58, 46.6, 47.58",6/23/2026,5,87.82
AdGuard DNS Primary DNS,www.netflix.com,"47.89, 47.87, 47.29, 45.99, 48.21",6/23/2026,5,47.45
AdGuard DNS Primary DNS,www.hbomax.com,"115.04, 42.8, 47.74, 46.71, 44.27",6/23/2026,5,59.31
Adguard DNS Secondary DNS,www.facebook.com,"48.46, 45.31, 44.46, 45, 46.17",6/23/2026,5,45.88
Adguard DNS Secondary DNS,www.google.com,"46.18, 41.73, 46.92, 43.62, 44.12",6/23/2026,5,44.51
Adguard DNS Secondary DNS,www.amazon.com,"47.07, 45.14, 47.82, 45.15, 43.45",6/23/2026,5,45.73
Adguard DNS Secondary DNS,www.nos.nl,"45.64, 45.39, 41.98, 46, 46.94",6/23/2026,5,45.19
Adguard DNS Secondary DNS,www.bbc.co.uk,"45.88, 45.43, 46.63, 45.33, 47.23",6/23/2026,5,46.1
Adguard DNS Secondary DNS,www.github.com,"46.31, 45, 46.27, 45.43, 45.61",6/23/2026,5,45.72
Adguard DNS Secondary DNS,www.netflix.com,"45.99, 45.91, 45.84, 47.3, 46.14",6/23/2026,5,46.23
Adguard DNS Secondary DNS,www.hbomax.com,"48.74, 45.58, 45.94, 47.39, 47.09",6/23/2026,5,46.95
