DNS Tested,Target Website,Query Times (ms),Date Tested,Frequency Tested,Avg Query Time
Cloudflare Primary DNS,www.facebook.com,"45.86, 40.98, 40.78, 40.77, 41.23, 41.82, 39.3, 45.07, 40.59, 45.98",2026-09-06,10,42.24
Cloudflare Primary DNS,www.google.com,"40.3, 40.36, 41.58, 40.17, 45.74, 41.94, 43.67, 44.91, 42.14, 44.86",2026-09-06,10,42.57
Cloudflare Primary DNS,www.amazon.com,"38.96, 40.71, 40.21, 41.47, 42.09, 41.71, 39.49, 41.77, 42.93, 45.44",2026-09-06,10,41.48
Cloudflare Primary DNS,www.nos.nl,"76.71, 49.82, 156.36, 48.87, 57.92, 41.9, 48.77, 43.03, 39.92, 51.7",2026-09-06,10,61.5
Cloudflare Primary DNS,www.bbc.co.uk,"41.61, 39.92, 40.39, 42.14, 42.93, 41.48, 40.23, 43.11, 40.69, 48.22",2026-09-06,10,42.07
Cloudflare Primary DNS,www.github.com,"41.27, 41.24, 39.79, 48.86, 40.79, 47.19, 40.83, 44.62, 49.33, 44.69",2026-09-06,10,43.86
Cloudflare Primary DNS,www.netflix.com,"45.5, 41.33, 39.55, 41.03, 39.8, 43.98, 40.53, 40.7, 42.35, 44.25",2026-09-06,10,41.9
Cloudflare Primary DNS,www.hbomax.com,"41.48, 45.76, 41.32, 43.79, 41.1, 48.78, 40.66, 45.21, 39.66, 41.64",2026-09-06,10,42.94
Cloudflare Secondary DNS,www.facebook.com,"41.06, 42.86, 39.05, 41.95, 39.53, 44.38, 41.49, 43.09, 45.16, 43.69",2026-09-06,10,42.23
Cloudflare Secondary DNS,www.google.com,"41.99, 41.31, 40.95, 40.07, 41.67, 43.8, 39.55, 40.77, 40.87, 46.83",2026-09-06,10,41.78
Cloudflare Secondary DNS,www.amazon.com,"40.7, 46.79, 40.45, 40.4, 42.27, 43.73, 42.1, 41.94, 39.85, 41.57",2026-09-06,10,41.98
Cloudflare Secondary DNS,www.nos.nl,"50.58, 229.4, 39.55, 43.15, 52.95, 48.75, 41.7, 46.81, 40.61, 51.48",2026-09-06,10,64.5
Cloudflare Secondary DNS,www.bbc.co.uk,"40.93, 41.08, 44.75, 41.69, 42.22, 44.69, 41.49, 47.06, 40.43, 43.58",2026-09-06,10,42.79
Cloudflare Secondary DNS,www.github.com,"42.14, 42.26, 43.06, 41.35, 42.29, 41.34, 41.93, 41.98, 41.39, 42.22",2026-09-06,10,42.0
Cloudflare Secondary DNS,www.netflix.com,"41.63, 39.7, 41.52, 42.05, 39.96, 40.89, 41.61, 41.0, 40.8, 40.83",2026-09-06,10,41.0
Cloudflare Secondary DNS,www.hbomax.com,"47.69, 39.75, 41.14, 39.97, 48.87, 46.67, 40.61, 45.11, 40.8, 48.17",2026-09-06,10,43.88
Google Primary DNS,www.facebook.com,"130.7, 130.97, 130.13, 131.64, 130.43, 135.76, 132.61, 131.1, 128.98, 133.08",2026-09-06,10,131.54
Google Primary DNS,www.google.com,"131.11, 130.83, 130.35, 131.43, 130.88, 129.6, 133.61, 136.52, 131.37, 130.34",2026-09-06,10,131.6
Google Primary DNS,www.amazon.com,"140.12, 208.71, 130.11, 130.69, 133.59, 136.06, 129.4, 131.11, 131.69, 130.29",2026-09-06,10,140.18
Google Primary DNS,www.nos.nl,"146.13, 145.46, 129.87, 131.9, 147.46, 131.58, 131.99, 138.69, 131.08, 130.34",2026-09-06,10,136.45
