"DNS Tested","Target Website","Query Times (ms)","Date Tested","Frequency Tested","Avg Query Time"
"Cloudflare Primary DNS","www.facebook.com","56.57, 46.87, 54.9, 45.92, 48.35, 47.97, 46.02, 46.26, 46.39, 47.16","2026-06-23","10","48.64"
"Cloudflare Primary DNS","www.google.com","45.87, 46.31, 46.53, 46.07, 48.04, 47.29, 47.04, 46.01, 47.84, 43.22","2026-06-23","10","46.42"
"Cloudflare Primary DNS","www.amazon.com","47.01, 47.95, 50.16, 48.05, 48.08, 49.21, 49.21, 56.17, 49.53, 44.11","2026-06-23","10","48.95"
"Cloudflare Primary DNS","www.nos.nl","105.69, 53.81, 56.81, 56.83, 56.07, 60.99, 56.5, 47.45, 52.91, 46.52","2026-06-23","10","59.36"
"Cloudflare Primary DNS","www.bbc.co.uk","47.5, 47.77, 48.12, 47, 47.82, 47.97, 46.02, 49.64, 48.42, 48.25","2026-06-23","10","47.85"
"Cloudflare Primary DNS","www.github.com","46.69, 47.14, 47.91, 46.38, 46.96, 47.43, 47.45, 48.67, 46.21, 45.52","2026-06-23","10","47.04"
"Cloudflare Primary DNS","www.netflix.com","45.69, 48.05, 46.61, 48.72, 48.91, 48.24, 47.82, 48.95, 48.37, 49.55","2026-06-23","10","48.09"
"Cloudflare Primary DNS","www.hbomax.com","50.28, 49.84, 47.21, 47.6, 45.59, 44.65, 48.85, 47.91, 46.66, 56.16","2026-06-23","10","48.47"
"Cloudflare Secondary DNS","www.facebook.com","48.36, 46.19, 45.54, 47.32, 47.16, 45.27, 46.64, 47.87, 52.9, 43.88","2026-06-23","10","47.11"
"Cloudflare Secondary DNS","www.google.com","46.49, 47.54, 47.63, 47.91, 45.76, 47.44, 47.14, 46.16, 47.16, 47.56","2026-06-23","10","47.08"
"Cloudflare Secondary DNS","www.amazon.com","47.5, 45.63, 46.03, 45.86, 51.23, 48.01, 48.4, 46.65, 48.86, 48.83","2026-06-23","10","47.7"
"Cloudflare Secondary DNS","www.nos.nl","53.76, 56.81, 57.35, 62.5, 47.73, 48.39, 50.79, 57.64, 47.68, 154.47","2026-06-23","10","63.71"
"Cloudflare Secondary DNS","www.bbc.co.uk","48.51, 47.4, 46.96, 51.62, 43.14, 47.94, 48.92, 50.46, 48.11, 47.69","2026-06-23","10","48.08"
"Cloudflare Secondary DNS","www.github.com","48.86, 47.29, 44.96, 42.9, 47.47, 44.94, 49.56, 46.46, 44.72, 51.41","2026-06-23","10","46.86"
"Cloudflare Secondary DNS","www.netflix.com","45.88, 47.46, 47.48, 46.81, 48.34, 47.52, 45.43, 45.13, 45.11, 44.47","2026-06-23","10","46.36"
"Cloudflare Secondary DNS","www.hbomax.com","46.3, 47.66, 49.55, 53.02, 47.5, 46.4, 46.43, 51.75, 47.73, 51.3","2026-06-23","10","48.76"
"Google Primary DNS","www.facebook.com","144.16, 138.57, 137.67, 137.31, 138.94, 137.77, 141.64, 138.68, 136.43, 145.71","2026-06-23","10","139.69"
"Google Primary DNS","www.google.com","135.38, 135.59, 139.72, 137.65, 136.99, 138.58, 138.98, 139.33, 138.56, 139.57","2026-06-23","10","138.03"
"Google Primary DNS","www.amazon.com","153.88, 188.19, 140.03, 144.95, 136.75, 141.18, 145.56, 146.61, 138.42, 138.75","2026-06-23","10","147.43"
"Google Primary DNS","www.nos.nl","236.69, 187.52, 156.22, 149.64, 144.93, 138.84, 140.09, 144.48, 139.57, 139.13","2026-06-23","10","157.71"
"Google Primary DNS","www.bbc.co.uk","148.44, 144.99, 137.15, 146.69, 136.29, 134.15, 138.09, 137.29, 134.41, 139.24","2026-06-23","10","139.67"
"Google Primary DNS","www.github.com","143.5, 141.21, 140.51, 144.07, 138.73, 137.78, 133.21, 143.21, 140.5, 133.75","2026-06-23","10","139.65"
"Google Primary DNS","www.netflix.com","139.18, 134.07, 137.13, 133.96, 133.04, 139.52, 137.22, 136.33, 133.81, 138.52","2026-06-23","10","136.28"
"Google Primary DNS","www.hbomax.com","136.93, 142.2, 141.52, 139.4, 140.65, 144.99, 140.71, 139.97, 139.96, 136.39","2026-06-23","10","140.27"
"Google Secondary DNS","www.facebook.com","136.88, 137.22, 139.02, 138.17, 246.64, 135.82, 137.87, 138.32, 136.6, 138.03","2026-06-23","10","148.46"
"Google Secondary DNS","www.google.com","137.45, 137.64, 137.26, 137.76, 135.79, 136.3, 136.23, 138.92, 138.05, 136.74","2026-06-23","10","137.21"
"Google Secondary DNS","www.amazon.com","138.28, 137.51, 145.32, 136.82, 137.88, 135.56, 141.29, 137.29, 139.38, 137.81","2026-06-23","10","138.71"
"Google Secondary DNS","www.nos.nl","137.59, 146.21, 138.21, 137.92, 139.56, 137.87, 138.51, 138.07, 140.31, 138.6","2026-06-23","10","139.28"
"Google Secondary DNS","www.bbc.co.uk","137.33, 140.05, 138.62, 139.27, 137.85, 137.39, 136.09, 138.15, 136.79, 137.3","2026-06-23","10","137.88"
"Google Secondary DNS","www.github.com","136.39, 136.23, 137.34, 141.78, 137.03, 134.29, 135.42, 136.3, 136.65, 137.19","2026-06-23","10","136.86"
"Google Secondary DNS","www.netflix.com","137.89, 137.63, 137.1, 137.39, 137.24, 137.65, 138.55, 156.02, 137.63, 135.14","2026-06-23","10","139.22"
"Google Secondary DNS","www.hbomax.com","139.23, 143, 137.13, 137.42, 139.94, 144.37, 139.39, 137.18, 133.94, 136.12","2026-06-23","10","138.77"
"Quad9 Primary DNS","www.facebook.com","218.67, 126.16, 122.8, 124.96, 126, 125.65, 126.46, 125.95, 127.66, 124.73","2026-06-23","10","134.9"
"Quad9 Primary DNS","www.google.com","126.91, 122.27, 127.49, 127.31, 126.41, 124.7, 126.43, 126.5, 125.69, 122.96","2026-06-23","10","125.67"
"Quad9 Primary DNS","www.amazon.com","127.52, 125.97, 126.61, 126.96, 129.07, 125.36, 126.21, 126.04, 125.25, 125.66","2026-06-23","10","126.47"
"Quad9 Primary DNS","www.nos.nl","132.52, 134.47, 270.02, 125.35, 123.75, 127.14, 123.62, 125.3, 124.61, 128.59","2026-06-23","10","141.54"
"Quad9 Primary DNS","www.bbc.co.uk","815.07, 681.62, 131.1, 125.38, 126.63, 126.36, 127.45, 126.41, 125.56, 126.57","2026-06-23","10","251.22"
"Quad9 Primary DNS","www.github.com","131.02, 125.23, 125.93, 126.3, 130.05, 125.67, 126.95, 127.28, 125.68, 124.25","2026-06-23","10","126.84"
"Quad9 Primary DNS","www.netflix.com","126.24, 126.98, 126.21, 127.6, 127.48, 125.14, 123.55, 128.71, 129.16, 126.36","2026-06-23","10","126.74"
"Quad9 Primary DNS","www.hbomax.com","126.9, 126.63, 125.02, 129.18, 129.88, 129.72, 126.65, 127.32, 125.94, 128.48","2026-06-23","10","127.57"
"Quad9 Secondary DNS","www.facebook.com","125.72, 127.42, 125.86, 125.52, 126.9, 121.92, 127.78, 126.06, 127.06, 126.69","2026-06-23","10","126.1"
"Quad9 Secondary DNS","www.google.com","126.27, 127.98, 127.2, 125.58, 126.34, 127.66, 126.13, 126.6, 122.98, 125.87","2026-06-23","10","126.26"
"Quad9 Secondary DNS","www.amazon.com","123.7, 122.01, 124.67, 121.77, 122.92, 127.23, 128.95, 126.73, 125.92, 126.12","2026-06-23","10","125"
"Quad9 Secondary DNS","www.nos.nl","127.9, 123.75, 125.32, 125.68, 128.71, 124.59, 125.73, 126.52, 133.54, 128.61","2026-06-23","10","127.04"
"Quad9 Secondary DNS","www.bbc.co.uk","125.43, 124.16, 127.54, 127.58, 126.55, 128.24, 122.26, 126.62, 126.39, 126.13","2026-06-23","10","126.09"
"Quad9 Secondary DNS","www.github.com","127.46, 127.5, 127.28, 127.1, 126.65, 126.07, 127.92, 127.57, 125.26, 122.97","2026-06-23","10","126.58"
"Quad9 Secondary DNS","www.netflix.com","126.53, 126.82, 128.5, 124.23, 125.27, 129.01, 128.57, 125.64, 125.97, 124.66","2026-06-23","10","126.52"
