"recordID","DNS Tested","Target Website","Query Times (ms)","datetime","Frequency Tested","Avg Query Time"
"25","Google Secondary DNS","www.facebook.com","137.75, 134.76, 136.49, 138.36, 137.5, 140.46, 138.53, 136.43, 138.42, 141.37","2026-06-27 07:48:31","10","138.01"
"26","Google Secondary DNS","www.google.com","140.72, 135.65, 136.78, 138.47, 137.47, 137.12, 137.49, 138.16, 136.37, 138.37","2026-06-27 07:48:33","10","137.66"
"27","Google Secondary DNS","www.amazon.com","143.24, 135.38, 142.28, 140.84, 144.15, 138.75, 139.27, 138.81, 138.58, 139.06","2026-06-27 07:48:34","10","140.04"
"28","Google Secondary DNS","www.nos.nl","136.78, 136.71, 138.07, 138.13, 135.66, 137.31, 137.11, 137.38, 138.04, 137.08","2026-06-27 07:48:36","10","137.23"
"29","Google Secondary DNS","www.bbc.co.uk","137.37, 138.69, 138.71, 137.74, 138.91, 137.75, 136.15, 136.08, 138.83, 136.92","2026-06-27 07:48:37","10","137.71"
"30","Google Secondary DNS","www.github.com","136.44, 136.66, 138.11, 188.05, 139.49, 138.16, 138.95, 138.9, 137.96, 134.74","2026-06-27 07:48:39","10","142.75"
"31","Google Secondary DNS","www.netflix.com","137.55, 136.81, 135.96, 137.32, 135.75, 136.35, 137.26, 137, 136.82, 136.6","2026-06-27 07:48:40","10","136.74"
"32","Google Secondary DNS","www.hbomax.com","137.9, 141.07, 136.02, 134.83, 137.59, 137.53, 137.81, 141.23, 137.77, 136.07","2026-06-27 07:48:41","10","137.78"
"33","Quad9 Primary DNS","www.facebook.com","127.23, 128.07, 126.98, 125.75, 127.14, 127.03, 128.52, 128.33, 126.71, 128.87","2026-06-27 07:48:43","10","127.46"
"34","Quad9 Primary DNS","www.google.com","126.7, 127.18, 124.29, 124.39, 128.5, 126.36, 127.72, 125.5, 128.69, 128.89","2026-06-27 07:48:44","10","126.82"
"35","Quad9 Primary DNS","www.amazon.com","127.11, 126.09, 131.4, 129.22, 127.03, 127.03, 130.75, 127.29, 127.22, 127.73","2026-06-27 07:48:45","10","128.09"
"36","Quad9 Primary DNS","www.nos.nl","463.58, 273.81, 137.15, 128.34, 129.03, 124.34, 127.18, 127.29, 126.32, 126.56","2026-06-27 07:48:47","10","176.36"
"37","Quad9 Primary DNS","www.bbc.co.uk","417.96, 129.94, 126.9, 224.45, 128.56, 127.89, 127.01, 133.11, 128.47, 124.89","2026-06-27 07:48:49","10","166.92"
"38","Quad9 Primary DNS","www.github.com","127, 127.71, 128.57, 127.43, 127.92, 127.37, 127.59, 127.51, 127.63, 127.18","2026-06-27 07:48:50","10","127.59"
"39","Quad9 Primary DNS","www.netflix.com","125.9, 127.98, 127.17, 128.66, 129.41, 127.47, 130.62, 128.42, 127.37, 128.99","2026-06-27 07:48:51","10","128.2"
"40","Quad9 Primary DNS","www.hbomax.com","127.72, 128.09, 129.86, 127.76, 127.67, 139.1, 127.52, 127.06, 126.84, 127.76","2026-06-27 07:48:53","10","128.94"
"41","Quad9 Secondary DNS","www.facebook.com","124.05, 127.72, 128.26, 127.57, 131.41, 127.46, 129.47, 129.67, 126.92, 124.26","2026-06-27 07:48:54","10","127.68"
"42","Quad9 Secondary DNS","www.google.com","127.91, 125.86, 128.99, 125.76, 126.99, 125.95, 126.62, 126.84, 127.73, 126.61","2026-06-27 07:48:55","10","126.92"
"43","Quad9 Secondary DNS","www.amazon.com","126.49, 129.43, 127.59, 127.48, 127.76, 128.13, 128.71, 124.87, 126.44, 128.86","2026-06-27 07:48:57","10","127.58"
"44","Quad9 Secondary DNS","www.nos.nl","128.27, 126.22, 126.98, 127.13, 126.95, 127.37, 128.02, 127.33, 127.81, 128.75","2026-06-27 07:48:58","10","127.48"
"45","Quad9 Secondary DNS","www.bbc.co.uk","423.99, 127.17, 125.28, 126.53, 127.21, 127.54, 128.22, 126.61, 128.75, 128.86","2026-06-27 07:49:00","10","157.02"
"46","Quad9 Secondary DNS","www.github.com","127.57, 127.03, 128.02, 127.05, 127.21, 133.09, 128.67, 129.6, 127.92, 125.78","2026-06-27 07:49:01","10","128.19"
"47","Quad9 Secondary DNS","www.netflix.com","126.58, 127.08, 129.56, 127.66, 124.08, 127.43, 129.53, 128.68, 126.9, 128.25","2026-06-27 07:49:02","10","127.57"
